T_K|log10_alpha
100.0|-92.36924552948176
102.32929922807536|-90.30247611832945
104.71285480508985|-88.28244280603526
107.15193052376048|-86.30807465437532
109.64781961431828|-84.37832533966841
112.20184543019607|-82.49217258982205
114.81536214968794|-80.64861763120099
117.48975549395254|-78.84668464512546
120.22644346174081|-77.08542023383436
123.02687708123761|-75.36389289577473
125.8925411794161|-73.6811925101029
128.8249551693127|-72.03642983030305
131.82567385563993|-70.42873598684866
134.8962882591645|-68.85726199884864
138.03842646028752|-67.3211782946339
141.2537544622744|-65.8196742412544
144.54397707459162|-64.35195768286657
147.9108388168195|-62.91725448800248
151.35612484361948|-61.514808105721016
154.8816618912467|-60.14387913065084
158.4893192461098|-58.8037448769437
162.18100973589134|-57.49369896116651
165.95869074375426|-56.21305089416992
169.8243652461725|-54.96112568198267
173.7800828749355|-53.73726343579229
177.8279410038901|-52.540818991085615
181.97008586099602|-51.371161536037
186.20871366628427|-50.22767424924684
190.5460717963221|-49.109753946948864
194.98445997580177|-48.0168107398217
199.52623149688503|-46.94826769955596
204.17379446694983|-45.903560535345036
208.92961308540066|-44.882137280482354
213.79620895021975|-43.883457989261416
218.7761623949516|-42.90699444438483
223.8721138568301|-41.95222987509556
229.08676527677326|-41.018658686244656
234.42288153198797|-40.105786198505626
239.88329190194457|-39.213128399933154
245.47089156849833|-38.34021170904374
251.18864315095308|-37.48657274956538
257.03957827688123|-36.65175813696255
263.02679918953277|-35.83532427679023
269.1534803926859|-35.036837174866044
275.4228703338107|-34.25587225917254
281.83829312643917|-33.49201421331276
288.4031503126541|-32.744856821241086
295.12092266663177|-32.01400282288131
301.9951720401945|-31.299063780124094
309.02954325135164|-30.59965995257155
316.2277660168302|-29.91542018226918
323.5936569296202|-29.24598178653891
331.13112148258267|-28.590990457906354
338.84415613919373|-27.95010017000436
346.73685045252245|-27.322973088239078
354.8133892335659|-26.709279483928448
363.07805477009134|-26.108697650570857
371.53522909716213|-25.520913820877674
380.1893963205504|-24.94562208321082
389.0451449942693|-24.382524296106936
398.1071705534855|-23.831329999644705
407.38027780410056|-23.291756322519912
416.8693834703227|-22.763527883832545
426.57951880157947|-22.246376688757024
436.51583224015224|-21.740042017456666
446.68359215094887|-21.244270306808893
457.0881896148602|-20.758815024723095
467.7351412871828|-20.283436537049052
478.6300923226224|-19.817901967284207
489.7788193684296|-19.361985049484037
501.18723362725507|-18.91546597495546
512.861383991347|-18.47813123346247
524.8074602497541|-18.049773449791715
537.0317963702335|-17.630191216610847
549.5408738576045|-17.219188924602857
562.3413251903283|-16.816576590875847
575.4399373371355|-16.422169686631634
588.8436553555667|-16.035788965031763
602.5595860743347|-15.657260290130017
616.5950018614583|-15.286414467651635
630.9573444801684|-14.9230870782969
645.6542290346298|-14.567118314135662
660.6934480075694|-14.218352818545938
676.0829753919543|-13.876639530038211
691.830970918908|-13.541831530202304
707.9457843841084|-13.213785895919026
724.4359600749594|-12.892363555896779
741.3102413008859|-12.577429151525624
758.577575029151|-12.268850901988902
776.2471166286579|-11.966500473534953
794.3282347242464|-11.670252852788387
812.8305161640629|-11.379986223970013
831.7637711026334|-11.095581849895323
851.1380382023376|-10.816923956631072
870.9635899560404|-10.5438996217059
891.2509381337039|-10.276398665791705
912.0108393558668|-10.014313547795458
933.2543007969466|-9.757539263324578
954.99258602139|-9.505973246510788
977.2372209557632|-9.259515275196772
999.9999999999509|-9.018067379505318
1023.2929922807034|-8.78153375382177
1047.128548050847|-8.54982067222699
1071.5193052375523|-8.32283640741952
1096.478196143129|-8.100491153162709
1122.0184543019056|-7.882696950285275
1148.153621496823|-7.669367616253114
1174.897554939468|-7.460418678316361
1202.2644346173493|-7.255767310219857
1230.2687708123158|-7.055332272447779
1258.9254117940993|-6.859033855955085
1288.2495516930637|-6.666793829320247
1318.2567385563345|-6.4785353892360416
1348.9628825915788|-6.294183114238511
1380.3842646028077|-6.113662921559003
1412.5375446226747|-5.936902026970645
1445.4397707458452|-5.763828907489126
1479.1083881681225|-5.59437326677814
1513.5612484361204|-5.428466003102569
1548.8166189123908|-5.26603917966718
1584.8931924610201|-5.107025997175485
1621.8100973588337|-4.951360768442063
1659.5869074374612|-4.798978894892102
1698.243652461642|-4.649816844783917
1737.8008287492696|-4.503812132993634
1778.2794100388137|-4.360903302205687
1819.700858609871|-4.221029905358446
1862.0871366627514|-4.084132489200504
1905.4607179631275|-3.9501525788202336
1949.844599757922|-3.819032663018607
1995.2623149687522|-3.69071618040309
2041.737944669398|-3.565147506088435
2089.2961308539043|-3.442271938898392
