	temp	R	G	B
0	1000.0	1.0	0.0337	0.0
1	1100.0	1.0	0.0592	0.0
2	1200.0	1.0	0.0846	0.0
3	1300.0	1.0	0.1096	0.0
4	1400.0	1.0	0.1341	0.0
5	1500.0	1.0	0.1578	0.0
6	1600.0	1.0	0.1806	0.0
7	1700.0	1.0	0.2025	0.0
8	1800.0	1.0	0.2235	0.0
9	1900.0	1.0	0.2434	0.0
10	2000.0	1.0	0.2647	0.0033
11	2100.0	1.0	0.2889	0.012
12	2200.0	1.0	0.3126	0.0219
13	2300.0	1.0	0.336	0.0331
14	2400.0	1.0	0.3589	0.0454
15	2500.0	1.0	0.3814	0.0588
16	2600.0	1.0	0.4034	0.0734
17	2700.0	1.0	0.425	0.0889
18	2800.0	1.0	0.4461	0.1054
19	2900.0	1.0	0.4668	0.1229
20	3000.0	1.0	0.487	0.1411
21	3100.0	1.0	0.5067	0.1602
22	3200.0	1.0	0.5259	0.18
23	3300.0	1.0	0.5447	0.2005
24	3400.0	1.0	0.563	0.2216
25	3500.0	1.0	0.5809	0.2433
26	3600.0	1.0	0.5983	0.2655
27	3700.0	1.0	0.6153	0.2881
28	3800.0	1.0	0.6318	0.3112
29	3900.0	1.0	0.648	0.3346
30	4000.0	1.0	0.6636	0.3583
31	4100.0	1.0	0.6789	0.3823
32	4200.0	1.0	0.6938	0.4066
33	4300.0	1.0	0.7083	0.431
34	4400.0	1.0	0.7223	0.4556
35	4500.0	1.0	0.736	0.4803
36	4600.0	1.0	0.7494	0.5051
37	4700.0	1.0	0.7623	0.5299
38	4800.0	1.0	0.775	0.5548
39	4900.0	1.0	0.7872	0.5797
40	5000.0	1.0	0.7992	0.6045
41	5100.0	1.0	0.8108	0.6293
42	5200.0	1.0	0.8221	0.6541
43	5300.0	1.0	0.833	0.6787
44	5400.0	1.0	0.8437	0.7032
45	5500.0	1.0	0.8541	0.7277
46	5600.0	1.0	0.8642	0.7519
47	5700.0	1.0	0.874	0.776
48	5800.0	1.0	0.8836	0.8
49	5900.0	1.0	0.8929	0.8238
50	6000.0	1.0	0.9019	0.8473
51	6100.0	1.0	0.9107	0.8707
52	6200.0	1.0	0.9193	0.8939
53	6300.0	1.0	0.9276	0.9168
54	6400.0	1.0	0.9357	0.9396
55	6500.0	1.0	0.9436	0.9621
56	6600.0	1.0	0.9513	0.9844
57	6700.0	0.9937	0.9526	1.0
58	6800.0	0.9726	0.9395	1.0
59	6900.0	0.9526	0.927	1.0
60	7000.0	0.9337	0.915	1.0
61	7100.0	0.9157	0.9035	1.0
62	7200.0	0.8986	0.8925	1.0
63	7300.0	0.8823	0.8819	1.0
64	7400.0	0.8668	0.8718	1.0
65	7500.0	0.852	0.8621	1.0
66	7600.0	0.8379	0.8527	1.0
67	7700.0	0.8244	0.8437	1.0
68	7800.0	0.8115	0.8351	1.0
69	7900.0	0.7992	0.8268	1.0
70	8000.0	0.7874	0.8187	1.0
71	8100.0	0.7761	0.811	1.0
72	8200.0	0.7652	0.8035	1.0
73	8300.0	0.7548	0.7963	1.0
74	8400.0	0.7449	0.7894	1.0
75	8500.0	0.7353	0.7827	1.0
76	8600.0	0.726	0.7762	1.0
77	8700.0	0.7172	0.7699	1.0
78	8800.0	0.7086	0.7638	1.0
79	8900.0	0.7004	0.7579	1.0
80	9000.0	0.6925	0.7522	1.0
81	9100.0	0.6848	0.7467	1.0
82	9200.0	0.6774	0.7414	1.0
83	9300.0	0.6703	0.7362	1.0
84	9400.0	0.6635	0.7311	1.0
85	9500.0	0.6568	0.7263	1.0
86	9600.0	0.6504	0.7215	1.0
87	9700.0	0.6442	0.7169	1.0
88	9800.0	0.6382	0.7124	1.0
89	9900.0	0.6324	0.7081	1.0
90	10000.0	0.6268	0.7039	1.0
91	10100.0	0.6213	0.6998	1.0
92	10200.0	0.6161	0.6958	1.0
93	10300.0	0.6109	0.6919	1.0
94	10400.0	0.606	0.6881	1.0
95	10500.0	0.6012	0.6844	1.0
96	10600.0	0.5965	0.6808	1.0
97	10700.0	0.5919	0.6773	1.0
98	10800.0	0.5875	0.6739	1.0
99	10900.0	0.5833	0.6706	1.0
100	11000.0	0.5791	0.6674	1.0
101	11100.0	0.575	0.6642	1.0
102	11200.0	0.5711	0.6611	1.0
103	11300.0	0.5673	0.6581	1.0
